latitude,longitude,resource_type,access,supervisor_district,analysis_neighborhood,needles_within_500m,encampments_within_500m
37.73307159776936,-122.382577828637,restroom,publicly_accessible,10.0,Bayview Hunters Point,59,30
37.78074058,-122.42663066,drinking_water,publicly_accessible,5.0,Western Addition,1504,14
37.77135493025545,-122.39873334886664,restroom,publicly_accessible,6.0,Mission Bay,480,13
37.76959000789354,-122.51011435778472,restroom,limited_access,4.0,Golden Gate Park,47,41
37.760841940000006,-122.42756989,drinking_water,publicly_accessible,8.0,Castro/Upper Market,1114,0
37.76936533,-122.49313417,drinking_water,publicly_accessible,4.0,Golden Gate Park,13,17
37.729370370000005,-122.40967733,drinking_water,publicly_accessible,9.0,Portola,33,16
37.76699488,-122.45332846,drinking_water,limited_access,5.0,Golden Gate Park,213,14
37.73921045423949,-122.38573118327052,restroom,publicly_accessible,10.0,Bayview Hunters Point,221,47
37.719071,-122.393147,drinking_water,publicly_accessible,10.0,Bayview Hunters Point,48,35
37.73088520798447,-122.3837328418327,restroom,publicly_accessible,10.0,Bayview Hunters Point,79,62
37.77020104717313,-122.4955921142364,restroom,publicly_accessible,1.0,Golden Gate Park,15,16
37.79159628,-122.42817795,drinking_water,publicly_accessible,2.0,Pacific Heights,500,2
37.76797548977512,-122.50181865799595,restroom,publicly_accessible,1.0,Golden Gate Park,19,32
37.75154545,-122.46518977,drinking_water,publicly_accessible,7.0,Inner Sunset,22,0
37.75150426311053,-122.42887877902628,restroom,publicly_accessible,8.0,Noe Valley,101,0
37.7543903,-122.41381917,drinking_water,limited_access,9.0,Mission,662,7
37.76624576,-122.45578885,drinking_water,publicly_accessible,5.0,Golden Gate Park,150,8
37.77269581,-122.4552027,drinking_water,publicly_accessible,1.0,Golden Gate Park,166,18
37.782884097867246,-122.49085411307505,restroom,publicly_accessible,1.0,Outer Richmond,42,1
37.78422005104755,-122.50182639926255,restroom,publicly_accessible,1.0,Lincoln Park,29,14
37.793789,-122.392106,drinking_water,publicly_accessible,6.0,Financial District/South Beach,226,22
37.810489,-122.410821,restroom,publicly_accessible,3.0,North Beach,70,8
37.8087256,-122.4155803,restroom,publicly_accessible,3.0,North Beach,124,16
37.79738734090501,-122.44467454836928,restroom,publicly_accessible,2.0,Marina,105,1
37.71434069987213,-122.44983895970807,restroom,publicly_accessible,11.0,Outer Mission,28,28
37.766786536410606,-122.49279315543468,restroom,publicly_accessible,4.0,Golden Gate Park,15,22
37.80259938123957,-122.40605250572062,restroom,publicly_accessible,3.0,North Beach,381,8
37.7715225693754,-122.47202101043584,restroom,publicly_accessible,1.0,Golden Gate Park,41,17
37.742691,-122.387441,drinking_water,limited_access,10.0,Bayview Hunters Point,213,67
37.770220300000005,-122.45937143,drinking_water,publicly_accessible,7.0,Golden Gate Park,63,9
37.746283168602446,-122.43968177852058,restroom,publicly_accessible,8.0,Noe Valley,27,4
37.77273831,-122.45794472,drinking_water,publicly_accessible,1.0,Golden Gate Park,89,14
37.76735,-122.420036,drinking_water,publicly_accessible,9.0,Mission,3332,41
37.72220338,-122.41308385,drinking_water,publicly_accessible,9.0,McLaren Park,6,19
37.78340553001032,-122.4780934534974,restroom,publicly_accessible,1.0,Outer Richmond,199,3
37.79172534,-122.40516294,drinking_water,publicly_accessible,3.0,Financial District/South Beach,1201,3
37.71271954,-122.40869124,drinking_water,publicly_accessible,10.0,Visitacion Valley,28,3
37.74671,-122.38634,drinking_water,publicly_accessible,10.0,Bayview Hunters Point,95,63
37.75808872207264,-122.41344367216318,restroom,publicly_accessible,9.0,Mission,1086,22
37.76953433640059,-122.48470857635463,restroom,publicly_accessible,4.0,Golden Gate Park,23,22
37.749905738380605,-122.412343944662,restroom,publicly_accessible,9.0,Mission,354,13
37.78248808,-122.43558809,drinking_water,publicly_accessible,5.0,Western Addition,537,10
37.74244647159215,-122.42843387178414,restroom,publicly_accessible,8.0,Noe Valley,69,2
37.71732528,-122.38717889,drinking_water,publicly_accessible,10.0,Bayview Hunters Point,26,21
37.71408971379147,-122.42331647505156,restroom,publicly_accessible,10.0,McLaren Park,11,1
37.754352377295625,-122.41391608902444,restroom,publicly_accessible,9.0,Mission,653,8
37.76851881812115,-122.46559954560792,restroom,publicly_accessible,7.0,Golden Gate Park,85,11
37.744233,-122.398524,drinking_water,publicly_accessible,10.0,Bayview Hunters Point,357,59
37.74686045,-122.41325643,drinking_water,publicly_accessible,9.0,Bernal Heights,217,17
37.79897,-122.39703,restroom,publicly_accessible,3.0,Financial District/South Beach,196,12
37.73370386440429,-122.4473554240948,restroom,publicly_accessible,7.0,West of Twin Peaks,31,0
37.76985328000001,-122.43960653,drinking_water,publicly_accessible,8.0,Haight Ashbury,436,23
37.71521921017252,-122.43182548843647,restroom,publicly_accessible,11.0,Excelsior,29,0
37.767503,-122.386062,drinking_water,,6.0,Mission Bay,31,1
37.80103021,-122.41062973,drinking_water,publicly_accessible,3.0,North Beach,428,6
37.72711420900004,-122.40636172399996,drinking_water,limited_access,9.0,Portola,47,9
37.70975597,-122.44678565,drinking_water,publicly_accessible,11.0,Excelsior,18,14
37.747814884292936,-122.4384316905048,restroom,publicly_accessible,8.0,Noe Valley,40,1
37.7814174,-122.4020001,drinking_water,publicly_accessible,6.0,South of Market,1605,28
37.76745061878301,-122.45405121776848,restroom,publicly_accessible,5.0,Golden Gate Park,207,13
37.80244444556374,-122.40586285398844,restroom,publicly_accessible,3.0,North Beach,396,8
37.76918435,-122.50650309,drinking_water,publicly_accessible,1.0,Golden Gate Park,40,46
37.77352793,-122.4869876,drinking_water,publicly_accessible,1.0,Outer Richmond,22,16
37.78537896,-122.41809575,drinking_water,publicly_accessible,5.0,Tenderloin,3619,77
37.76998547,-122.45421166,drinking_water,publicly_accessible,5.0,Golden Gate Park,212,21
37.80137363200004,-122.434135665,drinking_water,limited_access,2.0,Marina,372,3
37.784313315771854,-122.41181377502645,restroom,publicly_accessible,5.0,Tenderloin,4079,59
37.78702293940326,-122.47178156987889,restroom,publicly_accessible,1.0,Inner Richmond,76,1
37.71242807,-122.48940363,drinking_water,publicly_accessible,7.0,Lakeshore,0,49
37.76828888,-122.45471818,drinking_water,publicly_accessible,5.0,Golden Gate Park,199,16
37.79124662422696,-122.43816772749048,restroom,publicly_accessible,2.0,Pacific Heights,174,0
37.77212148,-122.44773409,drinking_water,limited_access,5.0,Golden Gate Park,462,34
37.738312761309125,-122.41599756145315,restroom,publicly_accessible,9.0,Bernal Heights,77,11
37.75633921,-122.39705544,drinking_water,publicly_accessible,10.0,Potrero Hill,83,8
37.7168010634532,-122.38835499090985,restroom,publicly_accessible,10.0,Bayview Hunters Point,26,22
37.7668042,-122.5081866,drinking_water,publicly_accessible,4.0,Golden Gate Park,47,59
37.71496823152588,-122.43189818017898,restroom,publicly_accessible,11.0,Excelsior,26,0
37.7787317,-122.4169278,restroom,publicly_accessible,5.0,Tenderloin,5727,46
37.76416762,-122.42024527,drinking_water,publicly_accessible,9.0,Mission,2220,18
37.78787928,-122.40697735,drinking_water,publicly_accessible,3.0,Financial District/South Beach,1338,14
37.77239136,-122.44766619,drinking_water,publicly_accessible,5.0,Golden Gate Park,464,32
37.73800244,-122.4983337,drinking_water,publicly_accessible,4.0,Sunset/Parkside,40,6
37.76406037000004,-122.43188171699995,drinking_water,limited_access,8.0,Castro/Upper Market,1983,2
37.79689,-122.39505,restroom,limited_access,3.0,Financial District/South Beach,214,17
37.802780865258775,-122.41222087359928,restroom,publicly_accessible,3.0,North Beach,292,12
37.7406401,-122.43528428,drinking_water,publicly_accessible,8.0,Glen Park,22,4
37.73406849241061,-122.42170662551818,restroom,publicly_accessible,9.0,Bernal Heights,66,11
37.79542,-122.39363,drinking_water,limited_access,3.0,Financial District/South Beach,235,22
37.722389879019694,-122.41438687566156,restroom,publicly_accessible,9.0,McLaren Park,4,20
37.78286237,-122.4908413,drinking_water,publicly_accessible,1.0,Outer Richmond,42,1
37.71770235,-122.47036815,drinking_water,publicly_accessible,11.0,Oceanview/Merced/Ingleside,9,23
37.76388493563467,-122.39892775694432,restroom,publicly_accessible,10.0,Potrero Hill,471,6
37.79523887500005,-122.41008249499998,drinking_water,limited_access,3.0,Chinatown,758,6
37.76460916,-122.40948568,drinking_water,publicly_accessible,9.0,Mission,2088,101
37.75010227881753,-122.40535703230252,restroom,publicly_accessible,9.0,Mission,1092,15
37.73910459,-122.44949347,drinking_water,publicly_accessible,7.0,West of Twin Peaks,12,0
37.74695644,-122.43891311,drinking_water,publicly_accessible,8.0,Noe Valley,29,4
37.79171974893089,-122.40509211818922,restroom,publicly_accessible,3.0,Financial District/South Beach,1214,3
37.80567366353541,-122.44826248305824,restroom,publicly_accessible,2.0,Marina,27,0
37.76634792,-122.47663375,drinking_water,publicly_accessible,7.0,Golden Gate Park,61,34
37.79362392,-122.40706236,drinking_water,publicly_accessible,3.0,Chinatown,1095,5
37.739575,-122.385795,drinking_water,publicly_accessible,10.0,Bayview Hunters Point,220,47
37.72751929,-122.36789379,drinking_water,publicly_accessible,10.0,Bayview Hunters Point,4,6
37.71638274,-122.45820801,drinking_water,limited_access,11.0,Oceanview/Merced/Ingleside,21,13
37.793628709866944,-122.40704782153728,restroom,publicly_accessible,3.0,Chinatown,1094,5
37.73083879,-122.38377726,drinking_water,publicly_accessible,10.0,Bayview Hunters Point,79,62
37.73222576074778,-122.37597410576838,restroom,publicly_accessible,10.0,Bayview Hunters Point,8,12
37.77799694,-122.45769442,drinking_water,publicly_accessible,1.0,Lone Mountain/USF,152,12
37.760315,-122.412135,drinking_water,publicly_accessible,9.0,Mission,1590,44
37.73797742460086,-122.3841349638076,restroom,publicly_accessible,10.0,Bayview Hunters Point,192,34
37.79427381465303,-122.41169060223632,restroom,publicly_accessible,3.0,Nob Hill,763,6
37.77013551800008,-122.45100115999998,drinking_water,limited_access,5.0,Haight Ashbury,299,28
37.76750663,-122.45566955,drinking_water,publicly_accessible,5.0,Golden Gate Park,176,11
37.78184424500006,-122.46809920399994,drinking_water,limited_access,1.0,Inner Richmond,248,11
37.72092385,-122.4169242,drinking_water,publicly_accessible,9.0,McLaren Park,3,13
37.776332,-122.388487,drinking_water,publicly_accessible,6.0,Mission Bay,160,3
37.760245264681615,-122.50956649424046,restroom,publicly_accessible,4.0,Sunset/Parkside,82,58
37.78413,-122.446083,drinking_water,publicly_accessible,5.0,Presidio Heights,312,12
37.72466408783124,-122.49365476427312,restroom,limited_access,7.0,Lakeshore,1,5
37.788483152167615,-122.44983022083372,restroom,publicly_accessible,2.0,Presidio Heights,96,10
37.77355496507794,-122.4868886187872,restroom,publicly_accessible,1.0,Outer Richmond,22,16
37.7381107,-122.38409678,drinking_water,publicly_accessible,10.0,Bayview Hunters Point,193,32
