latitude,longitude,district,sf_find_neighborhood,supervisor,tents,structures,observed_month,dist_to_bathroom_m,bathrooms_within_500m,needles_within_500m,underserved
37.74637533792,-122.39463234027,BAYVIEW,Produce Market,10.0,0,1,2025-06-01,389.7858172988843,1,100,False
37.73264760511,-122.47796338052,TARAVAL,Merced Manor,7.0,0,0,2025-06-01,271.5093065366917,4,29,False
37.73317607007,-122.47791074216,TARAVAL,Merced Manor,7.0,0,0,2025-06-01,229.42422907414834,4,29,False
37.72717498122,-122.38013265164,BAYVIEW,Hunters Point,10.0,0,0,2025-06-01,415.87663891629455,3,25,False
37.74517992668,-122.39506374597,BAYVIEW,Produce Market,10.0,0,3,2025-06-01,314.77578576578276,1,126,False
37.7266650076,-122.38051483854,BAYVIEW,Hunters Point,10.0,0,0,2025-06-01,453.4458433008936,3,25,False
37.74531050725,-122.39719392023,BAYVIEW,Produce Market,10.0,0,0,2025-06-01,150.19494469958897,1,203,False
37.74625170376,-122.40278347241,BAYVIEW,Produce Market,10.0,0,0,2025-06-01,406.3746632909691,3,765,False
37.72580549067,-122.38131340617,BAYVIEW,Hunters Point,10.0,0,0,2025-06-01,491.70966027553385,2,27,False
37.74276939607,-122.40421986848,BAYVIEW,Produce Market,10.0,0,0,2025-06-01,516.0072453544628,0,595,False
37.74276939607,-122.40421986848,BAYVIEW,Produce Market,10.0,0,1,2025-06-01,516.0072453544628,0,595,False
37.73925832505,-122.4067490279,BAYVIEW,Apparel City,10.0,1,0,2025-06-01,671.186600939921,0,382,False
37.74155108072,-122.40647148468,BAYVIEW,Apparel City,9.0,10,3,2025-06-01,735.9692715996499,0,486,False
37.7291943618,-122.38419268988,BAYVIEW,Bayview,10.0,0,0,2025-06-01,148.81983730364882,5,47,False
37.72814451537,-122.3819649376,BAYVIEW,Hunters Point,10.0,0,0,2025-06-01,284.9092911050217,5,36,False
37.74823358233,-122.40357488434,BAYVIEW,Produce Market,10.0,2,3,2025-06-01,226.5749550469251,2,1087,False
37.74105282403,-122.40007397331,BAYVIEW,Produce Market,10.0,0,0,2025-06-01,310.4153895168869,1,524,False
37.74061114022,-122.40096251769,BAYVIEW,Apparel City,10.0,1,0,2025-06-01,383.10805309561414,1,555,False
37.74343624004,-122.40794632584,INGLESIDE,Peralta Heights,9.0,0,1,2025-06-01,554.3958864447515,0,460,False
37.71903879742,-122.4004824087,INGLESIDE,Portola,10.0,0,0,2025-06-01,612.4273266572508,0,43,False
37.71647390501,-122.39977933466,INGLESIDE,Portola,10.0,0,0,2025-06-01,556.8067865197928,0,46,False
37.71550743921,-122.39958118647,INGLESIDE,Portola,10.0,0,0,2025-06-01,554.3677321844522,0,41,False
37.71260425292,-122.41203971207,INGLESIDE,Visitacion Valley,10.0,0,0,2025-06-01,293.97845679267925,6,13,False
37.71366809586,-122.41553932428,INGLESIDE,McLaren Park,10.0,0,0,2025-06-01,32.138159825870616,3,8,False
37.71886084115,-122.41080891341,INGLESIDE,Portola,10.0,0,0,2025-06-01,167.5248279287134,5,24,False
37.75201458807,-122.4841767177,TARAVAL,Outer Sunset,4.0,0,0,2025-06-01,486.3533978260122,1,30,False
37.72273255324,-122.41751912981,INGLESIDE,University Mound,11.0,0,0,2025-06-01,93.47863657247298,9,5,False
37.75568946887,-122.48677644879,TARAVAL,Outer Sunset,4.0,0,0,2025-06-01,101.58327251882274,3,33,False
37.75756885478,-122.4870024249,TARAVAL,Outer Sunset,4.0,0,0,2025-06-01,39.51036357652816,3,41,False
37.75370135,-122.48839046806,TARAVAL,Outer Sunset,4.0,0,0,2025-06-01,304.73063017584025,3,25,False
37.75657032099,-122.49490790069,TARAVAL,Outer Sunset,4.0,0,0,2025-06-01,546.4936928566491,0,33,False
37.75911102888,-122.49487169087,TARAVAL,Outer Sunset,4.0,0,0,2025-06-01,697.7276821400689,0,45,False
